slice,d,n,p,alpha_template,support_class,delta_support,predicted_class,observed_class,match
frozen_d45,4,3,0,boundary,simplex-like,0.000000,F,F,1
frozen_d45,4,3,0,mixed,simplex-like,0.000000,F,F,1
frozen_d45,4,3,0,uniform,simplex-like,0.000000,F,F,1
frozen_d45,4,3,1,boundary,simplex-like,0.250000,R,R,1
frozen_d45,4,3,1,mixed,simplex-like,0.250000,R,R,1
frozen_d45,4,3,1,uniform,simplex-like,0.250000,R,R,1
frozen_d45,4,3,2,boundary,simplex-like,0.500000,R,R,1
frozen_d45,4,3,2,mixed,simplex-like,0.500000,R,R,1
frozen_d45,4,3,2,uniform,simplex-like,0.500000,R,R,1
frozen_d45,4,3,4,boundary,simplex-like,0.000000,F,F,1
frozen_d45,4,3,4,mixed,simplex-like,0.000000,F,F,1
frozen_d45,4,3,4,uniform,simplex-like,0.000000,F,F,1
frozen_d45,4,4,0,boundary,simplex-like,0.000000,F,F,1
frozen_d45,4,4,0,mixed,simplex-like,0.000000,F,F,1
frozen_d45,4,4,0,uniform,simplex-like,0.000000,F,F,1
frozen_d45,4,4,1,boundary,simplex-like,0.250000,R,R,1
frozen_d45,4,4,1,mixed,simplex-like,0.250000,R,R,1
frozen_d45,4,4,1,uniform,simplex-like,0.250000,R,R,1
frozen_d45,4,4,2,boundary,simplex-like,0.500000,R,R,1
frozen_d45,4,4,2,mixed,simplex-like,0.500000,R,R,1
frozen_d45,4,4,2,uniform,simplex-like,0.500000,R,R,1
frozen_d45,4,4,4,boundary,simplex-like,0.000000,F,F,1
frozen_d45,4,4,4,mixed,simplex-like,0.000000,F,F,1
frozen_d45,4,4,4,uniform,simplex-like,0.000000,F,F,1
frozen_d45,5,3,0,boundary,simplex-like,0.000000,F,F,1
frozen_d45,5,3,0,mixed,simplex-like,0.000000,F,F,1
frozen_d45,5,3,0,uniform,simplex-like,0.000000,F,F,1
frozen_d45,5,3,1,boundary,simplex-like,0.200000,R,R,1
frozen_d45,5,3,1,mixed,simplex-like,0.200000,R,R,1
frozen_d45,5,3,1,uniform,simplex-like,0.200000,R,R,1
frozen_d45,5,3,2,boundary,simplex-like,0.400000,R,R,1
frozen_d45,5,3,2,mixed,simplex-like,0.400000,R,R,1
frozen_d45,5,3,2,uniform,simplex-like,0.400000,R,R,1
frozen_d45,5,3,5,boundary,simplex-like,0.000000,F,F,1
frozen_d45,5,3,5,mixed,simplex-like,0.000000,F,F,1
frozen_d45,5,3,5,uniform,simplex-like,0.000000,F,F,1
frozen_d45,5,4,0,boundary,simplex-like,0.000000,F,F,1
frozen_d45,5,4,0,mixed,simplex-like,0.000000,F,F,1
frozen_d45,5,4,0,uniform,simplex-like,0.000000,F,F,1
frozen_d45,5,4,1,boundary,simplex-like,0.200000,R,R,1
frozen_d45,5,4,1,mixed,simplex-like,0.200000,R,R,1
frozen_d45,5,4,1,uniform,simplex-like,0.200000,R,R,1
frozen_d45,5,4,2,boundary,simplex-like,0.400000,R,R,1
frozen_d45,5,4,2,mixed,simplex-like,0.400000,R,R,1
frozen_d45,5,4,2,uniform,simplex-like,0.400000,R,R,1
frozen_d45,5,4,5,boundary,simplex-like,0.000000,F,F,1
frozen_d45,5,4,5,mixed,simplex-like,0.000000,F,F,1
frozen_d45,5,4,5,uniform,simplex-like,0.000000,F,F,1
stress_d6_structural,6,3,1,uniform,simplex-like,0.166667,R,R,1
stress_d6_structural,6,3,1,mixed,simplex-like,0.166667,R,R,1
stress_d6_structural,6,3,1,boundary,simplex-like,0.166667,R,R,1
stress_d6_structural,6,3,2,uniform,simplex-like,0.333333,R,R,1
stress_d6_structural,6,3,2,mixed,simplex-like,0.333333,R,R,1
stress_d6_structural,6,3,2,boundary,simplex-like,0.333333,R,R,1
stress_d6_structural,6,3,3,uniform,simplex-like,0.500000,R,R,1
stress_d6_structural,6,3,3,mixed,simplex-like,0.500000,R,R,1
stress_d6_structural,6,3,3,boundary,simplex-like,0.500000,R,R,1
stress_d6_structural,6,3,4,uniform,simplex-like,0.333333,R,R,1
stress_d6_structural,6,3,4,mixed,simplex-like,0.333333,R,R,1
stress_d6_structural,6,3,4,boundary,simplex-like,0.333333,R,R,1
stress_d6_structural,6,4,1,uniform,simplex-like,0.166667,R,R,1
stress_d6_structural,6,4,1,mixed,simplex-like,0.166667,R,R,1
stress_d6_structural,6,4,1,boundary,simplex-like,0.166667,R,R,1
stress_d6_structural,6,4,2,uniform,simplex-like,0.333333,R,R,1
stress_d6_structural,6,4,2,mixed,simplex-like,0.333333,R,R,1
stress_d6_structural,6,4,2,boundary,simplex-like,0.333333,R,R,1
stress_d6_structural,6,4,3,uniform,simplex-like,0.500000,R,R,1
stress_d6_structural,6,4,3,mixed,simplex-like,0.500000,R,R,1
stress_d6_structural,6,4,3,boundary,simplex-like,0.500000,R,R,1
stress_d6_structural,6,4,4,uniform,simplex-like,0.333333,R,R,1
stress_d6_structural,6,4,4,mixed,simplex-like,0.333333,R,R,1
stress_d6_structural,6,4,4,boundary,simplex-like,0.333333,R,R,1
clean_d6_lc2,6,3,0,uniform,simplex-like,0.000000,F,F,1
clean_d6_lc2,6,3,0,mixed,simplex-like,0.000000,F,F,1
clean_d6_lc2,6,3,0,boundary,simplex-like,0.000000,F,F,1
clean_d6_lc2,6,3,1,uniform,simplex-like,0.166667,R,R,1
clean_d6_lc2,6,3,1,mixed,simplex-like,0.166667,R,R,1
clean_d6_lc2,6,3,1,boundary,simplex-like,0.166667,R,R,1
clean_d6_lc2,6,3,2,uniform,simplex-like,0.333333,R,R,1
clean_d6_lc2,6,3,2,mixed,simplex-like,0.333333,R,R,1
clean_d6_lc2,6,3,2,boundary,simplex-like,0.333333,R,R,1
clean_d6_lc2,6,3,3,uniform,simplex-like,0.500000,R,R,1
clean_d6_lc2,6,3,3,mixed,simplex-like,0.500000,R,R,1
clean_d6_lc2,6,3,3,boundary,simplex-like,0.500000,R,R,1
clean_d6_lc2,6,3,4,uniform,simplex-like,0.333333,R,R,1
clean_d6_lc2,6,3,4,mixed,simplex-like,0.333333,R,R,1
clean_d6_lc2,6,3,4,boundary,simplex-like,0.333333,R,R,1
clean_d6_lc2,6,3,6,uniform,simplex-like,0.000000,F,F,1
clean_d6_lc2,6,3,6,mixed,simplex-like,0.000000,F,F,1
clean_d6_lc2,6,3,6,boundary,simplex-like,0.000000,F,F,1
clean_d6_lc2,6,4,0,uniform,simplex-like,0.000000,F,F,1
clean_d6_lc2,6,4,0,mixed,simplex-like,0.000000,F,F,1
clean_d6_lc2,6,4,0,boundary,simplex-like,0.000000,F,F,1
clean_d6_lc2,6,4,1,uniform,simplex-like,0.166667,R,R,1
clean_d6_lc2,6,4,1,mixed,simplex-like,0.166667,R,R,1
clean_d6_lc2,6,4,1,boundary,simplex-like,0.166667,R,R,1
clean_d6_lc2,6,4,2,uniform,simplex-like,0.333333,R,R,1
clean_d6_lc2,6,4,2,mixed,simplex-like,0.333333,R,R,1
clean_d6_lc2,6,4,2,boundary,simplex-like,0.333333,R,R,1
clean_d6_lc2,6,4,3,uniform,simplex-like,0.500000,R,R,1
clean_d6_lc2,6,4,3,mixed,simplex-like,0.500000,R,R,1
clean_d6_lc2,6,4,3,boundary,simplex-like,0.500000,R,R,1
clean_d6_lc2,6,4,4,uniform,simplex-like,0.333333,R,R,1
clean_d6_lc2,6,4,4,mixed,simplex-like,0.333333,R,R,1
clean_d6_lc2,6,4,4,boundary,simplex-like,0.333333,R,R,1
clean_d6_lc2,6,4,6,uniform,simplex-like,0.000000,F,F,1
clean_d6_lc2,6,4,6,mixed,simplex-like,0.000000,F,F,1
clean_d6_lc2,6,4,6,boundary,simplex-like,0.000000,F,F,1
