d,n,p,alpha,alpha_template,support_class,phi_failure_band_p12,phi_boundary_p,predicted_class,observed_class,match
4,3,0,"(7, 1, 0)",boundary,simplex-like,0,1,F,F,1
4,3,0,"(4, 2, 2)",mixed,simplex-like,0,1,F,F,1
4,3,0,"(3, 3, 2)",uniform,simplex-like,0,1,F,F,1
4,3,1,"(7, 1, 0)",boundary,simplex-like,1,0,R,R,1
4,3,1,"(4, 2, 2)",mixed,simplex-like,1,0,R,R,1
4,3,1,"(3, 3, 2)",uniform,simplex-like,1,0,R,R,1
4,3,2,"(7, 1, 0)",boundary,simplex-like,1,0,R,R,1
4,3,2,"(4, 2, 2)",mixed,simplex-like,1,0,R,R,1
4,3,2,"(3, 3, 2)",uniform,simplex-like,1,0,R,R,1
4,3,4,"(7, 1, 0)",boundary,simplex-like,0,1,F,F,1
4,3,4,"(4, 2, 2)",mixed,simplex-like,0,1,F,F,1
4,3,4,"(3, 3, 2)",uniform,simplex-like,0,1,F,F,1
4,4,0,"(7, 1, 0, 0)",boundary,simplex-like,0,1,F,F,1
4,4,0,"(4, 2, 2, 0)",mixed,simplex-like,0,1,F,F,1
4,4,0,"(2, 2, 2, 2)",uniform,simplex-like,0,1,F,F,1
4,4,1,"(7, 1, 0, 0)",boundary,simplex-like,1,0,R,R,1
4,4,1,"(4, 2, 2, 0)",mixed,simplex-like,1,0,R,R,1
4,4,1,"(2, 2, 2, 2)",uniform,simplex-like,1,0,R,R,1
4,4,2,"(7, 1, 0, 0)",boundary,simplex-like,1,0,R,R,1
4,4,2,"(4, 2, 2, 0)",mixed,simplex-like,1,0,R,R,1
4,4,2,"(2, 2, 2, 2)",uniform,simplex-like,1,0,R,R,1
4,4,4,"(7, 1, 0, 0)",boundary,simplex-like,0,1,F,F,1
4,4,4,"(4, 2, 2, 0)",mixed,simplex-like,0,1,F,F,1
4,4,4,"(2, 2, 2, 2)",uniform,simplex-like,0,1,F,F,1
5,3,0,"(9, 1, 0)",boundary,simplex-like,0,1,F,F,1
5,3,0,"(5, 3, 2)",mixed,simplex-like,0,1,F,F,1
5,3,0,"(4, 3, 3)",uniform,simplex-like,0,1,F,F,1
5,3,1,"(9, 1, 0)",boundary,simplex-like,1,0,R,R,1
5,3,1,"(5, 3, 2)",mixed,simplex-like,1,0,R,R,1
5,3,1,"(4, 3, 3)",uniform,simplex-like,1,0,R,R,1
5,3,2,"(9, 1, 0)",boundary,simplex-like,1,0,R,R,1
5,3,2,"(5, 3, 2)",mixed,simplex-like,1,0,R,R,1
5,3,2,"(4, 3, 3)",uniform,simplex-like,1,0,R,R,1
5,3,5,"(9, 1, 0)",boundary,simplex-like,0,1,F,F,1
5,3,5,"(5, 3, 2)",mixed,simplex-like,0,1,F,F,1
5,3,5,"(4, 3, 3)",uniform,simplex-like,0,1,F,F,1
5,4,0,"(9, 1, 0, 0)",boundary,simplex-like,0,1,F,F,1
5,4,0,"(5, 3, 2, 0)",mixed,simplex-like,0,1,F,F,1
5,4,0,"(3, 3, 2, 2)",uniform,simplex-like,0,1,F,F,1
5,4,1,"(9, 1, 0, 0)",boundary,simplex-like,1,0,R,R,1
5,4,1,"(5, 3, 2, 0)",mixed,simplex-like,1,0,R,R,1
5,4,1,"(3, 3, 2, 2)",uniform,simplex-like,1,0,R,R,1
5,4,2,"(9, 1, 0, 0)",boundary,simplex-like,1,0,R,R,1
5,4,2,"(5, 3, 2, 0)",mixed,simplex-like,1,0,R,R,1
5,4,2,"(3, 3, 2, 2)",uniform,simplex-like,1,0,R,R,1
5,4,5,"(9, 1, 0, 0)",boundary,simplex-like,0,1,F,F,1
5,4,5,"(5, 3, 2, 0)",mixed,simplex-like,0,1,F,F,1
5,4,5,"(3, 3, 2, 2)",uniform,simplex-like,0,1,F,F,1
